context_text,question_text,answer_text
The refractive index of water is 1.33 and that of a particular type of glass is 1.45. The question concerns the conditions for total internal reflection (TIR) at the boundary between these two materials.,The refractive index of water and a particular type of glass is 1.33 and 1.45 respectively. Which of the following statements is correct about total internal reflection at the boundary between them? A It is impossible for total internal reflection to occur. B It can occur when light travels from glass to water. C It can occur when light travels from water to glass. D It can occur when light travels from water to glass and from glass to water.,"Total internal reflection (TIR) can only occur when two conditions are met: 1) Light must be traveling from an optically denser medium to an optically less dense medium (i.e., from a medium with a higher refractive index to one with a lower refractive index). 2) The angle of incidence in the denser medium must be greater than the critical angle. Given n_water = 1.33 and n_glass = 1.45, glass is the optically denser medium. Therefore, TIR can only occur when light travels from glass to water. It cannot occur when light travels from water to glass. Based on this, option B is correct."
"A circuit contains a power supply with a constant e.m.f. (E), a voltmeter measuring E, a variable resistor, and two identical lamps (P and Q) connected in parallel. The variable resistor is in series with the parallel combination of the lamps. Both lamps are initially lit.",The resistance of the variable resistor is reduced. What happens to the brightness of the lamp? A lamp P: brighter | lamp Q: brighter B lamp P: dimmer | lamp Q: dimmer C lamp P: unchanged | lamp Q: unchanged D lamp P: dimmer | lamp Q: unchanged,"The brightness of a lamp depends on the power dissipated by it (P = V²/R or P = I²R). For identical lamps, higher voltage across them or higher current through them means greater brightness. The lamps P and Q are identical and connected in parallel, so the voltage across them (V_PQ) is the same, and their equivalent resistance R_PQ = R_lamp / 2 is constant. The variable resistor (R_var) is in series with R_PQ. The total resistance of the circuit is R_total = R_var + R_PQ. The total current from the supply is I_total = E / R_total. If the resistance of the variable resistor (R_var) is reduced, then R_total decreases. Since E is constant, I_total increases. The voltage across the parallel lamps is V_PQ = I_total × R_PQ. Since I_total increases and R_PQ is constant, V_PQ increases. As V_PQ increases, the power dissipated by both lamps P and Q (P = V_PQ²/R_lamp) increases, making both lamps brighter. This matches option A."
"The graph shows the velocity of a rock (y-axis) as a function of time (x-axis) as it falls from a high cliff into the sea. The graph is divided into five distinct stages labeled A, B, C, D, and E. Stage A starts at velocity zero and shows a curved line with increasing velocity, but the positive slope (acceleration) gradually decreases. Stage B is a straight horizontal line indicating constant velocity. Stage C is a curved line showing increasing velocity from the end of B, initially with a sharp positive slope which then gradually decreases. Stage D is a very steep, almost vertical, straight line indicating a rapid decrease in velocity. Stage E is a straight horizontal line at a lower, constant positive velocity. Stages A, B, and C represent the rock's fall in air before it hits the sea. Stages D and E represent the rock's fall in sea water.",At which of these stages does the rock have the greatest force acting on it due to air resistance?,"The rock has the greatest force due to air resistance at stage C. Air resistance increases with velocity, and the velocity of the rock is highest at the end of stage C, just before it hits the sea."
"The graph shows the velocity of a rock (y-axis) as a function of time (x-axis) as it falls from a high cliff into the sea. The graph is divided into five distinct stages labeled A, B, C, D, and E. Stage A starts at velocity zero and shows a curved line with increasing velocity, but the positive slope (acceleration) gradually decreases. Stage B is a straight horizontal line indicating constant velocity. Stage C is a curved line showing increasing velocity from the end of B, initially with a sharp positive slope which then gradually decreases. Stage D is a very steep, almost vertical, straight line indicating a rapid decrease in velocity. Stage E is a straight horizontal line at a lower, constant positive velocity. Stages A, B, and C represent the rock's fall in air before it hits the sea. Stages D and E represent the rock's fall in sea water.",Explain why there is a steep decrease in velocity for part D.,"The steep decrease in velocity during stage D occurs because the rock enters the sea water. Water resistance is significantly greater than air resistance. This large upward resistive force causes a large net deceleration, rapidly reducing the rock's velocity."
"The graph shows the velocity of a rock (y-axis) as a function of time (x-axis) as it falls from a high cliff into the sea. The graph is divided into five distinct stages labeled A, B, C, D, and E. Stage A starts at velocity zero and shows a curved line with increasing velocity, but the positive slope (acceleration) gradually decreases. Stage B is a straight horizontal line indicating constant velocity. Stage C is a curved line showing increasing velocity from the end of B, initially with a sharp positive slope which then gradually decreases. Stage D is a very steep, almost vertical, straight line indicating a rapid decrease in velocity. Stage E is a straight horizontal line at a lower, constant positive velocity. Stages A, B, and C represent the rock's fall in air before it hits the sea. Stages D and E represent the rock's fall in sea water.","Is the height of the cliff greater, the same or less than the depth of the sea?","The height of the cliff is greater than the depth of the sea. The total time spent falling through the air (stages A, B, C) is much longer than the total time spent falling through the sea (stages D, E). Given the velocities are comparable, a longer time implies a greater distance covered."
"The diagram shows a motor used to raise a lift. The motor is supplied with an electrical power of 6400 W. The man and the lift have a total mass of 600 kg. The lift accelerates upward at 0.100 m/s². It moves a vertical distance of 11.3 m from rest in 15 s. The diagram shows the motor at the top, a cable extending downwards from the motor, and the lift box attached to the cable at the bottom.",Calculate the tension in the cable when the lift is accelerating at 0.100 m/s².,"To calculate the tension (T) in the cable, apply Newton's second law: F_net = ma. The forces acting on the lift are tension (T) upwards and weight (mg) downwards. Therefore, T - mg = ma. Given mass m = 600 kg, acceleration a = 0.100 m/s², and g = 10 m/s²: T - (600 kg * 10 m/s²) = 600 kg * 0.100 m/s². T - 6000 N = 60 N. T = 6060 N."
"The diagram shows a motor used to raise a lift. The motor is supplied with an electrical power of 6400 W. The man and the lift have a total mass of 600 kg. The lift accelerates upward at 0.100 m/s². It moves a vertical distance of 11.3 m from rest in 15 s. The diagram shows the motor at the top, a cable extending downwards from the motor, and the lift box attached to the cable at the bottom.",Calculate the power loss of the motor.,"First, calculate the output power of the motor. Output power = Work done / time. Work done = 68478 J (calculated in part b), time = 15 s. Output power = 68478 J / 15 s = 4565.2 W. The electrical power supplied to the motor (input power) is 6400 W. Power loss = Input power - Output power. Power loss = 6400 W - 4565.2 W = 1834.8 W. Rounded to 2 significant figures, Power loss = 1800 W."
The diagram shows a piece of glass being lifted by a suction cup. The suction cup has a handle at the top and a connection to a vacuum pump. It is placed on a flat piece of glass. Air inside the suction cup has been removed by a vacuum pump until its pressure is 60 kPa. The atmospheric pressure outside the cup is 100 kPa. The area of the glass covered by the suction cup is 0.0025 m².,Calculate the maximum weight of a piece of glass that can be lifted with this cup when the air inside the cup is 60 kPa.,"The lifting force is due to the pressure difference between the outside and inside of the cup. The pressure difference (ΔP) is 100 kPa - 60 kPa = 40 kPa. The force (F) exerted by this pressure difference is calculated as F = ΔP * Area. Given Area = 0.0025 m². F = 40,000 Pa * 0.0025 m² = 100 N. This force supports the weight of the glass, so the maximum weight of glass that can be lifted is 100 N."
The diagram shows a piece of glass being lifted by a suction cup. The suction cup has a handle at the top and a connection to a vacuum pump. It is placed on a flat piece of glass. Air inside the suction cup has been removed by a vacuum pump until its pressure is 60 kPa. The atmospheric pressure outside the cup is 100 kPa. The area of the glass covered by the suction cup is 0.0025 m².,Suggest two changes that would allow the suction cup to lift a heavier piece of glass.,"Two changes to lift a heavier piece of glass are: 1. Pump out more air from inside the suction cup to further reduce the internal pressure, increasing the pressure difference. 2. Use a suction cup with a larger contact area with the glass, as force is directly proportional to the area for a given pressure difference."
"The diagram shows a car park barrier arm, which is usually in the horizontal position. The barrier arm pivots around point P. An iron sphere is attached to the left end of the barrier arm, labeled A, at a distance of 0.1 m from pivot P. The weight of the barrier arm acts at point B, located 1.4 m to the right of pivot P. The right end of the barrier arm is labeled E, at a distance of 1.6 m from pivot P. A coil of insulated wire is positioned below the iron sphere A. This coil is connected to a d.c. supply. When there is a current in the coil, the barrier arm at end E moves upwards.",The coil of insulated wire is connected to a d.c. supply. Explain why the barrier arm moves upward at end E when a current flows in the coil of insulated wire.,"When a direct current flows through the coil of insulated wire, the coil becomes an electromagnet. This electromagnet produces a magnetic field that attracts the iron sphere at point A. This attraction creates a downward force on the iron sphere, which in turn causes an anticlockwise moment about the pivot P. This anticlockwise moment then lifts the right end E of the barrier arm upwards."
"The diagram shows a circuit that uses a relay system. The circuit includes an LDR (light-dependent resistor), a relay coil, a battery, and a lamp. The relay contacts are labeled C. The coil and LDR are connected in series with a battery, forming a control circuit. The lamp is shown connected to one side of the open contacts C.",State what happens to the resistance of the LDR when light falls on it.,"When light falls on the LDR, its resistance decreases."
"The diagram shows a circuit that uses a relay system. The circuit includes an LDR (light-dependent resistor), a relay coil, a battery, and a lamp. The relay contacts are labeled C. The coil and LDR are connected in series with a battery, forming a control circuit. The lamp is shown connected to one side of the open contacts C.","The circuit for the lamp is not complete. Connect the lamp, the relay contacts C and the battery so that the lamp will light up when light falls on the LDR.","To make the lamp light up when light falls on the LDR, the lamp, the relay contacts C, and a battery (or power supply) should be connected in series, forming a separate circuit. This circuit is controlled by the relay. When light falls on the LDR, its resistance decreases, increasing the current through the relay coil. The energized relay coil then closes the contacts C, completing the lamp circuit and allowing the lamp to light up."
"The diagram shows a ray of light passing from air into a rectangular glass block. The light ray enters the block at point P. The angle between the refracted ray inside the glass and the normal is 30°, which is the angle of refraction (r = 30°). The refractive index (n) of the glass block is 1.54. Air is the medium above the glass block.",Calculate the angle of incidence in the air at point P.,"To calculate the angle of incidence (i) at point P, Snell's Law is used: n_air * sin(i) = n_glass * sin(r). Assuming n_air = 1, and given n_glass = 1.54 and r = 30°. 1 * sin(i) = 1.54 * sin(30°). sin(i) = 1.54 * 0.5 = 0.77. i = arcsin(0.77) = 50.35°. Rounded to 2 significant figures, the angle of incidence (i) = 50°."
"All parts of the electromagnetic spectrum, including radio waves, microwaves, infra-red, visible light, ultraviolet, X-rays, and gamma rays, share certain fundamental properties.",State one other property which all electromagnetic waves have in common.,"All electromagnetic waves travel at the same speed in a vacuum, which is the speed of light (approximately 3 x 10⁸ m/s)."
Transverse waves are waves in which the oscillations of the medium are perpendicular to the direction of energy transfer. Electromagnetic waves are a specific type of transverse wave that do not require a medium to travel.,Give one example of a transverse wave which is not part of the electromagnetic spectrum.,"A water wave is an example of a transverse wave that is not part of the electromagnetic spectrum. In water waves, water particles oscillate up and down, perpendicular to the direction the wave travels."
"Ultrasound is used in quality control to detect cracks in metal. The setup involves sending ultrasound pulses into the metal from a transmitter, with a detector placed next to the transmitter on the front surface of the metal. The results are displayed on an oscilloscope trace. The x-axis of the oscilloscope represents time, where one division equals 1.0 x 10⁻⁶ s. Initial pulses sent out by the transmitter are labeled S, appearing as tall, sharp peaks. Reflections from the back surface of the metal are labeled R, appearing after S pulses with smaller amplitude. The time interval between consecutive S pulses is approximately 6 divisions (6.0 x 10⁻⁶ s).",State what is meant by ultrasound.,"Ultrasound refers to sound waves with frequencies higher than the upper limit of human hearing, typically above 20,000 Hz."
"Ultrasound is used in quality control to detect cracks in metal. The setup involves sending ultrasound pulses into the metal from a transmitter, with a detector placed next to the transmitter on the front surface of the metal. The results are displayed on an oscilloscope trace. The x-axis of the oscilloscope represents time, where one division equals 1.0 x 10⁻⁶ s. The time interval between consecutive S pulses (pulses initially sent out by the transmitter) is approximately 6 divisions.",Calculate the number of pulses sent out by the source in one second.,"The time interval between consecutive S pulses represents the period (T) of the pulse emission. Given that 1 division on the x-axis is 1.0 x 10⁻⁶ s, and the interval between pulses is 6 divisions, then T = 6 * 1.0 x 10⁻⁶ s = 6.0 x 10⁻⁶ s. The number of pulses sent out in one second is the frequency (f = 1/T). So, f = 1 / (6.0 x 10⁻⁶ s) = 166,666.67 Hz. Rounded to two significant figures, approximately 1.7 x 10⁵ pulses per second."
"Ultrasound pulses are sent into a metal from a transmitter (S pulses) and reflected from the back surface (R pulses). The S pulses appear as tall, sharp peaks on an oscilloscope trace, while the R pulses appear after a time delay with smaller amplitude.",Suggest one reason why the amplitude of R is less than the amplitude of S.,"The amplitude of the reflected R pulses is less than the transmitted S pulses because some of the ultrasound energy is absorbed by the metal as it travels through the material, some energy is lost due to scattering, and not all of the sound is reflected from the back surface; some may be transmitted out of the metal."
"The diagram shows a bicycle dynamo. It consists of a rotating magnet (labeled with N and S poles) positioned inside fixed coils of wire. The coils of wire are connected to a lamp. When the bicycle's front wheel turns, the magnet rotates within the coils.",Explain how the dynamo produces a current and why the current alternates.,"As the bicycle wheel turns, the permanent magnet inside the dynamo rotates. This rotation causes the magnetic field lines from the magnet to continuously cut across the fixed coils of wire. According to Faraday's law of electromagnetic induction, this changing magnetic flux linkage induces an electromotive force (e.m.f.) and thus an electric current in the coils. As the magnet continuously rotates, its poles (N and S) repeatedly move past the coil in opposite directions, causing the direction of the induced magnetic field and hence the induced current to reverse periodically. This reversal of current direction results in an alternating current (a.c.)."
"The diagram shows a bicycle dynamo that generates current as a magnet rotates within coils, causing a lamp to light up. The brightness of the lamp depends on the current generated.",Suggest one way in which the brightness of the lamp could be increased.,"To increase the brightness of the lamp, the current generated by the dynamo needs to be increased. This can be achieved by: 1. Cycling faster, which increases the speed of rotation of the magnet, leading to a faster rate of change of magnetic flux linkage and thus a larger induced current. 2. Using a stronger permanent magnet, which would produce a stronger magnetic field and thus a larger magnetic flux linkage change. 3. Increasing the number of turns in the coils of wire, which would increase the induced e.m.f. and current for the same rate of magnetic flux change."
"The diagram shows two pieces of soft iron placed horizontally, separated by a small gap, within the magnetic field of a strong permanent magnet. The N pole of the permanent magnet is positioned to the left of these pieces, and the S pole is to the right, creating a horizontal magnetic field that passes through the soft iron.",Mark the magnetic poles produced at each end of both pieces of soft iron.,"When the soft iron pieces are placed in the magnetic field created by the permanent magnet, they become temporary induced magnets. For each soft iron piece, the end closer to the N pole of the permanent magnet (the left end) will acquire an induced South (S) pole, and the end closer to the S pole of the permanent magnet (the right end) will acquire an induced North (N) pole. Therefore, for both soft iron pieces, the left ends should be marked 'S' and the right ends 'N'."
"The reed switch consists of two soft iron pieces (reeds) that become magnetized and attract each other when a magnetic field is applied. This arrangement is used in a greenhouse warning system with two separate circuits. Circuit 1 contains the reed switch, a cell, and a warning lamp, all in series. Circuit 2 contains a thermistor, a cell, and a coil wound around the reed switch, all in series. When the temperature in the greenhouse changes, the thermistor's resistance changes, affecting the current in Circuit 2 and thus the magnetic field generated by the coil.",Explain how this arrangement can be used to warn the farmers when the temperature in a greenhouse is too high.,"When the temperature in the greenhouse is too high, the resistance of the thermistor (which is sensitive to temperature) decreases significantly. This decrease in resistance causes an increase in the current flowing through Circuit 2, which includes the coil wound around the reed switch. The increased current in the coil strengthens the electromagnet, which then creates a stronger magnetic field. This strong magnetic field magnetizes the soft iron reeds of the reed switch, inducing opposite poles at their adjacent ends (e.g., N and S). These induced poles attract each other, causing the reeds to close the switch contacts in Circuit 1. This completes Circuit 1, allowing current from its cell to flow through the warning lamp, causing it to light up and alert the farmers to the high temperature."
"The diagram shows a simple electric motor with a rectangular coil WXYZ in a magnetic field (N pole left, S pole right). The coil is connected to a battery via brushes and a split-ring commutator, allowing it to spin about axis PQ. Current flowing through the coil interacts with the magnetic field, generating forces that cause rotation.",Explain how the electric motor works and how it is able to rotate continuously in one direction.,"The electric motor works based on the motor effect. When current flows through the coil WXYZ, each side of the coil experiences a force due to the interaction between the current and the magnetic field of the permanent magnets (Fleming's Left-Hand Rule). For example, if current flows from W to X, the force on side WX will be downwards, and simultaneously, the force on side YZ (where current flows from Y to Z, opposite to WX's direction relative to the field) will be upwards. These two forces, acting in opposite directions on opposite sides of the coil, create a turning effect or torque, causing the coil to rotate (e.g., clockwise). To ensure continuous rotation in one direction, a split-ring commutator is used. Every half-turn (180 degrees), the commutator reverses the direction of the current flowing through the coil segments. This reversal ensures that the forces on sides WX and YZ always act in the same direction relative to the coil's motion, maintaining the torque and allowing the coil to spin continuously in the same direction (e.g., continuously clockwise)."
"The diagram shows a simple electric motor circuit that includes a coil, permanent magnets, a battery, brushes, and a commutator. This motor converts electrical energy into mechanical energy, causing the coil to rotate.",Why would it be better to include a rheostat in the circuit?,"It would be better to include a rheostat (variable resistor) in the circuit because a rheostat allows for the control of the current flowing through the motor's coil. By varying the current, the strength of the magnetic forces acting on the coil can be adjusted, which in turn allows for the control and adjustment of the speed of rotation of the motor."
"The experiment is designed to determine the speed of a wave on the surface of water. You are provided with a digital calipers, a plate, a dropper, a stopwatch, a 30 cm ruler, a beaker, and paper towels. The instruction is to fill the plate with water to the level marked by a black line on the side of the plate. Figure 1.1 illustrates a wavefront moving outwards from the center of a plate filled with water. A water drop from a dropper initiates this wavefront. The dropper is shown at the top, dispensing a 'water drop' onto the surface of the water in the plate. The spreading circular disturbance on the water surface is labeled 'wavefront'.","Using a digital calipers, measure the depth of the water, d, at the centre of the plate.","The depth of the water, d, should be measured using the digital calipers to the nearest 0.1 mm or better. An example recorded value could be 6.50 mm (which falls within the expected range of 5.00 mm to 8.00 mm)."
"The experiment describes observing a wavefront initiated by a single drop of water from a dropper falling into the center of a plate filled with water. The wavefront travels to the edge of the plate, reflects back to the center, and then travels back out again, moving in and out several times. The task is to determine an accurate time t for the wavefront to travel once from the center of the plate and back to the center. This involves putting 1.0 cm³ of water into the dropper and then allowing one drop to fall into the center of the plate.",Take measurements to determine an accurate time t for the wavefront to travel once from the centre of the plate and back to the centre.,"To determine an accurate time t, at least two measurements should be taken and recorded to the nearest 0.1 s or better. This typically involves timing several oscillations (e.g., 5 or 10 cycles of the wavefront traveling to the edge and back) and then dividing the total time by the number of cycles to get the average time for one cycle. The average time, t, with its unit and appropriate significant figures, should be in the range of 0.40 s to 1.00 s. An example recorded value could be t = 0.75 s."
"The task is to calculate the speed of the wavefront using the equation `speed = distance / time`. The time (t) was determined in the previous step, representing the time for the wavefront to travel from the center to the edge and back to the center. To complete this calculation, an additional measurement of the diameter of the water surface is required, as the distance travelled by the wavefront in one full cycle (center to edge and back to center) is equal to the diameter of the water surface. We can assume the diameter of the water surface is 17.0 cm (within the range of 16.5 cm to 17.5 cm) and the time t is 0.75 s.","Using your answer to (a)(ii), calculate the speed of the wavefront using the equation shown. You will need to make and record an additional measurement of the diameter of the water surface.","First, measure the diameter of the water surface. Let's assume the measured diameter is 17.0 cm. The distance travelled by the wavefront in one full cycle (from the center to the edge and back to the center) is equal to this diameter. Using the sample time t = 0.75 s from (a)(ii):
Distance = 17.0 cm = 0.170 m
Time = 0.75 s
Speed = Distance / Time = 0.170 m / 0.75 s = 0.227 m/s.
The speed calculated using candidate's values should have the correct unit and appropriate significant figures."
"The experiment involves pressing a glass ball into modelling clay. The setup shown in Figure 2.2 includes a stand, boss, clamp, and a wooden strip (metre-rule) clamped in the boss. A loop of string, a mass-hanger, and a 30 cm ruler are also provided. The supervisor has clamped the wooden strip, and it's ensured the clamp can rotate freely. The glass ball and modelling clay are placed between the center of the wooden strip and the bench. Two 100 g masses are placed onto the mass hanger, resulting in a combined weight of 3.0 N for the mass hanger and masses. This mass hanger and masses are placed directly above the glass ball for about one minute. After removal, the wooden strip is raised, and the ball is removed from the modelling clay, revealing a small circular indentation. The task is to measure the diameter of this indentation.",Measure and record the diameter d₁ of the indentation.,The diameter d₁ of the indentation formed in the modelling clay by the glass ball is measured using a ruler or digital calipers. This measurement should be recorded to the nearest mm (0.1 cm). It is expected that d₁ will be less than or equal to the diameter D of the glass ball. A typical value for d₁ could be 1.2 cm.
"The area of a circle can be calculated using the equation `A = πd^2 / 4`, where 'A' is the area and 'd' is the diameter of the circle. The task is to calculate the area A₁ of the indentation using the diameter d₁ measured previously. If we use the sample value d₁ = 1.2 cm from the previous step.",The area of a circle can be calculated using the equation shown. `A = πd^2 / 4` where A is the area and d is the diameter of the circle. Calculate the area A₁ of the indentation with diameter d1.,"Given the formula `A = πd^2 / 4` and using the sample value d₁ = 1.2 cm:
A₁ = π * (1.2 cm)^2 / 4
A₁ = π * 1.44 cm^2 / 4
A₁ = 0.36π cm^2
A₁ ≈ 1.13 cm^2
The calculation should be performed using the candidate's measured value for d₁, and the result should include the correct unit (e.g., cm² or mm²) and appropriate significant figures."
"The experimental setup shown in Figure 2.3 involves flipping the modelling clay over and replacing the glass ball on the clay under the wooden strip. The wooden strip is lowered to rest on top of the glass ball. A loop of string is used to attach the mass hanger and masses near the end of the wooden strip. In Figure 2.3, a wooden strip (metre-rule) is shown resting on a glass ball which is on modelling clay. The strip is pivoted at a clamp, which acts as a fulcrum. A mass hanger with masses is suspended from the right end of the strip. The distance from the clamp (fulcrum) to the center of the glass ball is labeled 'x'. The distance from the clamp (fulcrum) to the point where the mass hanger is suspended is labeled 'y'. The task is to measure and record these distances, 'x' and 'y'.",Measure and record x and y.,The distances 'x' and 'y' are measured using a ruler. Both values should be recorded to the nearest mm. It is essential that 'x' (distance from clamp to glass ball) is less than 'y' (distance from clamp to mass hanger). Sample values could be x = 10.0 cm and y = 25.0 cm.
"The task is to calculate the force F exerted on the modelling clay using the equation `F = (3y) / x`. This equation relates the force to the measured distances 'x' and 'y'. The value '3' in the numerator likely represents the total weight of the mass hanger and two 100g masses, which is given as 3.0 N. Using the sample values from (c)(i): x = 10.0 cm and y = 25.0 cm.",Calculate the force F exerted on the modelling clay using the equation shown. `F = (3y) / x` Show your working.,"Given the equation `F = (3y) / x`, and using the sample values x = 10.0 cm and y = 25.0 cm, where the '3' represents 3.0 N (the total weight of the mass hanger and masses):
F = (3.0 N * 25.0 cm) / 10.0 cm
F = 75.0 N cm / 10.0 cm
F = 7.5 N
The calculation should be performed using the candidate's measured values for x and y, and the result should include the correct unit (Newtons, N) and appropriate significant figures."
"The task involves measuring and recording the diameter d2 of a new indentation produced by the ball in the clay, presumably under the force F calculated in the previous step. After measuring d2, the area A2 of this circular indentation needs to be calculated using the formula `A = πd^2 / 4`. It is expected that d2 will be greater than d1, and consequently A2 will be greater than A1, as a larger force F was likely applied to create this indentation. Let's assume a sample value for d2 = 1.5 cm.","Measure and record the diameter d2 of the indentation produced by the ball in the clay. Using the equation in (b)(ii), calculate the area A2 of the circle with diameter d2.","First, measure the diameter d2 of the new indentation. Let's assume d2 = 1.5 cm. This value should be greater than the previously measured d1. Now, calculate the area A2 using the formula `A = πd^2 / 4`:
A2 = π * (1.5 cm)^2 / 4
A2 = π * 2.25 cm^2 / 4
A2 = 0.5625π cm^2
A2 ≈ 1.77 cm^2
The calculated A2 should be greater than A1, and the result should include the correct unit (e.g., cm²) and appropriate significant figures."
"The task is to calculate the change in temperature (Tc) and the change in voltage (Vc) using the recorded values. The provided equations are `TC = TW - TR` and `VC = VR - VW`. We will use the sample values: TR = 32.0 °C, VR = 3.60 V, Tw = 86.0 °C, and Vw = 2.00 V.",Calculate the change in temperature Tc and voltage Vc using the equations shown. `TC=TW-TR` `VC = VR-Vw`,"Using the given equations and sample values:
Calculate the change in temperature Tc:
Tc = Tw - TR = 86.0 °C - 32.0 °C = 54.0 °C.

Calculate the change in voltage Vc:
Vc = VR - Vw = 3.60 V - 2.00 V = 1.60 V.

Both calculated values, Tc and Vc, should have appropriate units (°C and V respectively) and significant figures, based on the candidate's own recorded values."
"The relationship between Tc and Vc is given by `Tc = G Vc + Q`. From the graph plotted in (e) of Tc against Vc, G represents the gradient of the straight line, and Q represents the y-intercept (the value of Tc when Vc = 0). The task is to determine these constants with appropriate units from the graph. The expected value for G is around 28.4 °C/V, and for Q is around 8.56 °C.","Determine, with appropriate units, the constant G and Q.","From the graph of Tc against Vc:

**To determine G (gradient):**
1.  Select two points on the best-fit line that are as far apart as possible, ideally using a gradient triangle that spans more than half the length of the drawn line.
2.  Calculate the gradient using the formula: `G = (Change in Tc) / (Change in Vc)`. For example, using two points (0.90 V, 34.0 °C) and (1.60 V, 54.0 °C) from the sample graph:
    G = (54.0 °C - 34.0 °C) / (1.60 V - 0.90 V)
    G = 20.0 °C / 0.70 V
    G ≈ 28.6 °C/V.
    The value should be calculated correctly with appropriate significant figures and unit (°C/V).

**To determine Q (y-intercept):**
1.  Extend the best-fit line until it intersects the y-axis (where Vc = 0).
2.  Read the value of Tc at this intersection point, which is Q. Alternatively, Q can be calculated by substituting G and one data point (Vc, Tc) into the equation `Q = Tc - G * Vc`.
    For example, using G = 28.6 °C/V and point (0.90 V, 34.0 °C):
    Q = 34.0 °C - (28.6 °C/V * 0.90 V)
    Q = 34.0 °C - 25.74 °C
    Q ≈ 8.26 °C.
    The value should be recorded with appropriate significant figures and unit (°C). A graphical read from the sample graph shows Q ≈ 8.56 °C."
"The body temperature can be measured with a thermistor. The task is to calculate the voltage VN across the thermistor when the temperature is 37.0 °C. The provided equation is `VN = VR - (37.0 - TR) / G`. We will use the previously established values: VR = 3.60 V (room temperature voltage), TR = 32.0 °C (room temperature), and G = 28.6 °C/V (gradient from the graph).",Calculate the voltage VN across the thermistor when temperature is 37.0 °C using the equation shown. `VN = VR - (37.0 - TR) / G`,"Using the given equation `VN = VR - (37.0 - TR) / G` and the sample values:
VR = 3.60 V
TR = 32.0 °C
G = 28.6 °C/V

VN = 3.60 V - (37.0 °C - 32.0 °C) / 28.6 °C/V
VN = 3.60 V - (5.0 °C) / 28.6 °C/V
VN = 3.60 V - 0.1748 V
VN ≈ 3.4252 V
VN ≈ 3.43 V (to 3 significant figures)

The calculated voltage VN should have the correct unit (V) and appropriate significant figures based on the candidate's values for VR, TR, and G."
"The ball is thrown vertically downwards with an initial speed (u) of 8.4 m/s. It reaches the ground with a final speed (v) after time (t). The acceleration due to gravity (a) is 10 m/s², acting downwards. Air resistance is negligible, meaning acceleration is constant.","Assuming acceleration due to gravity is 10 m/s², express t in terms of v.","Using the equation of motion v = u + at, where v is the final velocity, u is the initial velocity (8.4 m/s), a is the acceleration due to gravity (10 m/s²), and t is the time. Substituting the given values: v = 8.4 + 10t. Rearranging to express t in terms of v: 10t = v - 8.4, so t = (v - 8.4) / 10."
"The ball is thrown downwards from a height of 5.0 m with an initial velocity (u) of 8.4 m/s. It reaches the ground with a final velocity (v) after time (t). The acceleration due to gravity (a) is 10 m/s². The velocity-time graph (from part a) is a trapezium with parallel sides representing the initial velocity (8.4 m/s) and final velocity (v m/s), and the height representing the time (t). The area under this graph represents the distance travelled (5.0 m). The expression from part b(i) is t = (v - 8.4) / 10.","Using your sketch in (a) and expression in b(i), determine the speed, v m/s, which the ball hits the ground.","The distance travelled is the area under the velocity-time graph, which is a trapezium. The area of the trapezium is given by ½ * (sum of parallel sides) * height. Here, the parallel sides are the initial velocity (u = 8.4 m/s) and the final velocity (v), and the height is the time (t). So, Distance = ½ * (u + v) * t. We are given the distance is 5.0 m. Substituting the values: 5.0 = ½ * (8.4 + v) * t. From part (b)(i), we have t = (v - 8.4) / 10. Substitute this expression for t into the distance equation: 5.0 = ½ * (8.4 + v) * ((v - 8.4) / 10). This simplifies to 5.0 = (v² - 8.4²) / 20. So, 100 = v² - 70.56. v² = 170.56. Taking the square root, v = √170.56 ≈ 13.06 m/s. Rounded to 3 significant figures, v = 13.1 m/s."
This question requires stating a fundamental principle in physics related to rotational equilibrium.,State the principle of moments.,"The principle of moments states that for a body to be in rotational equilibrium, the sum of all clockwise moments about any chosen pivot must be equal to the sum of all anticlockwise moments about the same pivot."
"A diagram shows a horizontal handrail in equilibrium, supported by two vertical supports at points A and B. Point A is on the left and point B is on the right. The bar has two downward forces: 700 N at 1.0 m to the right of A, and 500 N at 3.0 m to the right of A (1.0 m + 2.0 m). The upward force at A is F1, and the upward force at B is F2. The total distance from A to B is 4.0 m (1.0 m + 2.0 m + 1.0 m). The problem asks to take moments about A to find F2.","Taking moments about A, determine the value of F2.","Taking moments about point A:
Clockwise moments = (700 N × 1.0 m) + (500 N × 3.0 m) = 700 Nm + 1500 Nm = 2200 Nm.
Anticlockwise moments = (F2 × 4.0 m).
According to the principle of moments, for equilibrium, the sum of clockwise moments equals the sum of anticlockwise moments:
2200 Nm = F2 × 4.0 m
F2 = 2200 Nm / 4.0 m
F2 = 550 N."
"A horizontal handrail is in vertical equilibrium. The upward forces are F1 at support A and F2 at support B. The total downward force is the sum of a 700 N force and a 500 N force. From part (b)(i), the value of F2 is 550 N.","Hence, find the value of F1.","For the handrail to be in vertical equilibrium, the sum of the upward forces must equal the sum of the downward forces.
Upward forces: F1 + F2
Downward forces: 700 N + 500 N = 1200 N
So, F1 + F2 = 1200 N
Substitute the value of F2 = 550 N:
F1 + 550 N = 1200 N
F1 = 1200 N - 550 N
F1 = 650 N."
